mechanism,configuration,accuracy,precision_answerable,recall_answerable,specificity_unanswerable,false_accept_rate,false_refusal_rate,balanced_score,tp,fp,tn,fn
reranker_score_threshold,top_score>=-8,0.85,0.769231,1.0,0.7,0.3,0.0,0.85,20,6,14,0
reranker_score_threshold,top_score>=-4,0.875,0.8,1.0,0.75,0.25,0.0,0.875,20,5,15,0
reranker_score_threshold,top_score>=-3,0.925,0.869565,1.0,0.85,0.15,0.0,0.925,20,3,17,0
reranker_score_threshold,top_score>=-2,0.975,0.952381,1.0,0.95,0.05,0.0,0.975,20,1,19,0
reranker_score_threshold,top_score>=-1.5,0.95,0.95,0.95,0.95,0.05,0.05,0.95,19,1,19,1
reranker_score_threshold,top_score>=-1,0.95,0.95,0.95,0.95,0.05,0.05,0.95,19,1,19,1
reranker_score_threshold,top_score>=-0.5,0.975,1.0,0.95,1.0,0.0,0.05,0.975,19,0,20,1
reranker_score_threshold,top_score>=0,0.95,1.0,0.9,1.0,0.0,0.1,0.95,18,0,20,2
reranker_score_threshold,top_score>=1,0.925,1.0,0.85,1.0,0.0,0.15,0.925,17,0,20,3
reranker_score_threshold,top_score>=2,0.9,1.0,0.8,1.0,0.0,0.2,0.9,16,0,20,4
reranker_score_threshold,top_score>=3,0.875,1.0,0.75,1.0,0.0,0.25,0.875,15,0,20,5
reranker_score_threshold,top_score>=4,0.875,1.0,0.75,1.0,0.0,0.25,0.875,15,0,20,5
reranker_score_threshold,top_score>=5,0.8,1.0,0.6,1.0,0.0,0.4,0.8,12,0,20,8
lexical_overlap_threshold,lexical_overlap>=0,0.5,0.5,1.0,0.0,1.0,0.0,0.5,20,20,0,0
lexical_overlap_threshold,lexical_overlap>=0.05,0.6,0.555556,1.0,0.2,0.8,0.0,0.6,20,16,4,0
lexical_overlap_threshold,lexical_overlap>=0.1,0.6,0.555556,1.0,0.2,0.8,0.0,0.6,20,16,4,0
lexical_overlap_threshold,lexical_overlap>=0.2,0.6,0.555556,1.0,0.2,0.8,0.0,0.6,20,16,4,0
lexical_overlap_threshold,lexical_overlap>=0.3,0.6,0.558824,0.95,0.25,0.75,0.05,0.6,19,15,5,1
hybrid_reranker_and_lexical,top_score>=0; lexical>=0,0.95,1.0,0.9,1.0,0.0,0.1,0.95,18,0,20,2
hybrid_reranker_and_lexical,top_score>=0; lexical>=0.05,0.95,1.0,0.9,1.0,0.0,0.1,0.95,18,0,20,2
hybrid_reranker_and_lexical,top_score>=-2; lexical>=0,0.975,0.952381,1.0,0.95,0.05,0.0,0.975,20,1,19,0
hybrid_reranker_and_lexical,top_score>=-2; lexical>=0.05,0.975,0.952381,1.0,0.95,0.05,0.0,0.975,20,1,19,0
hybrid_reranker_and_lexical,top_score>=1; lexical>=0,0.925,1.0,0.85,1.0,0.0,0.15,0.925,17,0,20,3
hybrid_reranker_and_lexical,top_score>=2; lexical>=0.05,0.9,1.0,0.8,1.0,0.0,0.2,0.9,16,0,20,4
hybrid_reranker_and_lexical,top_score>=3; lexical>=0.05,0.875,1.0,0.75,1.0,0.0,0.25,0.875,15,0,20,5
