split,method,embedding_backend,embedding_model,reranker_model,chunks,dimension,candidate_k,top_k,questions,build_ms,search_ms_per_query,recall@1,recall@3,recall@5,recall@10,mrr@10
validation,cosine,sentence-transformers,sentence-transformers/all-MiniLM-L6-v2,,1152,384,60,10,1132,57628.152199991746,5.454099999993502,0.3083038869257951,0.4558303886925795,0.5229681978798587,0.6130742049469965,0.4009668237141736
validation,bm25,sentence-transformers,sentence-transformers/all-MiniLM-L6-v2,,1152,384,60,10,1132,67.8122999961488,1.5122427561848142,0.36484098939929327,0.5079505300353356,0.5768551236749117,0.6528268551236749,0.4545459644399574
validation,faiss_flat,sentence-transformers,sentence-transformers/all-MiniLM-L6-v2,,1152,384,60,10,1132,57714.32559998357,5.288057862203025,0.3083038869257951,0.4558303886925795,0.5229681978798587,0.6130742049469965,0.4009668237141736
validation,hybrid_rrf,sentence-transformers,sentence-transformers/all-MiniLM-L6-v2,,1152,384,60,10,1132,57782.137899979716,7.19703339222204,0.3913427561837456,0.5521201413427562,0.6104240282685512,0.6934628975265018,0.48651319479499694
validation,hybrid_reranked,sentence-transformers,sentence-transformers/all-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L2-v2,1152,384,60,10,1132,89437.53679998918,117.20308904593556,0.38604240282685515,0.5609540636042403,0.6236749116607774,0.6934628975265018,0.48854429581019687
test,cosine,sentence-transformers,sentence-transformers/all-MiniLM-L6-v2,,1152,384,60,10,1094,57628.152199991746,5.168256032885259,0.3281535648994516,0.4680073126142596,0.5411334552102377,0.6243144424131627,0.4186805374191115
test,bm25,sentence-transformers,sentence-transformers/all-MiniLM-L6-v2,,1152,384,60,10,1094,67.8122999961488,1.219318555757383,0.3802559414990859,0.5191956124314442,0.5758683729433273,0.6663619744058501,0.46571631699602445
test,faiss_flat,sentence-transformers,sentence-transformers/all-MiniLM-L6-v2,,1152,384,60,10,1094,57714.32559998357,5.169421755023457,0.3281535648994516,0.4680073126142596,0.5411334552102377,0.6252285191956124,0.41878210150605033
test,hybrid_rrf,sentence-transformers,sentence-transformers/all-MiniLM-L6-v2,,1152,384,60,10,1094,57782.137899979716,6.52961316268416,0.38391224862888484,0.5292504570383912,0.5795246800731262,0.6590493601462523,0.47157076115028596
test,hybrid_reranked,sentence-transformers,sentence-transformers/all-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L2-v2,1152,384,60,10,1094,89437.53679998918,403.02736087748184,0.39488117001828155,0.5356489945155393,0.6106032906764168,0.6590493601462523,0.4813677055221844
